shortener,prolonger,n,seed,L,abs_L_over_n,L_times_logn_over_n,P_size,sum_inv_p,max_p_in_B,num_primes_in_B,sum_omega,log_log_n,ratio_to_loglog,wall_seconds
S_adaptive_prime,P_random,100000,3,10184,0.10184,1.1724763293525682,5092,0.946282087001773,99991,4509,6791,2.443470357682056,0.38726972235482426,0.16485566699702758
S_adaptive_prime,P_random,100000,4,10203,0.10203,1.1746637851909125,5102,0.9199498922427076,99991,4496,6877,2.443470357682056,0.3764931665123197,0.1639646669937065
S_adaptive_prime,P_random,100000,5,10317,0.10317,1.1877885202209786,5159,0.9827602762498341,99991,4442,7102,2.443470357682056,0.402198566952172,0.1556452920049196
S_adaptive_prime,P_random,100000,6,10904,0.10904,1.2553693927003537,5452,1.1336512685342313,99989,4191,8245,2.443470357682056,0.46395130801162837,0.16586158399877604
S_adaptive_prime,P_random,100000,7,10837,0.10837,1.2476557326388238,5419,1.109148622226017,99991,4216,8064,2.443470357682056,0.45392350217752847,0.17157349998888094
S_adaptive_prime,P_random,100000,8,10112,0.10112,1.1641870230177895,5056,0.9023112693849291,99991,4544,6684,2.443470357682056,0.3692744896815064,0.16957304200332146
S_adaptive_prime,P_random,100000,9,10097,0.10097,1.162460084198044,5049,0.9182257066461839,99991,4551,6734,2.443470357682056,0.3757875366727339,0.1616193329973612
S_carrier_snipe,P_random,1000,0,377,0.377,2.6042237401762653,189,2.085804134560534,997,130,308,1.9326447339160655,1.0792486057870168,0.0015683340025134385
S_carrier_snipe,P_random,1000,1,231,0.231,1.5956914694448736,116,0.9010821684951131,997,110,137,1.9326447339160655,0.46624304647511433,0.0012885409960290417
S_carrier_snipe,P_random,1000,2,382,0.382,2.638762516571176,191,2.070361277407956,997,126,318,1.9326447339160655,1.0712580750487126,0.0013312079972820356
S_carrier_snipe,P_random,1000,3,389,0.389,2.6871168035240514,195,2.0661665161082787,997,125,327,1.9326447339160655,1.0690875978647465,0.0012800830008927733
S_carrier_snipe,P_random,1000,4,386,0.386,2.666393537687105,193,2.0669617835905827,997,122,328,1.9326447339160655,1.0694990896761218,0.0014575410023098812
S_carrier_snipe,P_random,1000,5,360,0.36,2.4867919004335692,180,2.055099189001779,997,122,287,1.9326447339160655,1.0633610787004746,0.0016596659988863394
S_carrier_snipe,P_random,1000,6,371,0.371,2.5627772085023723,186,2.0800411798921425,997,126,305,1.9326447339160655,1.076266705095567,0.0013778749998891726
S_carrier_snipe,P_random,1000,7,375,0.375,2.5904082296183013,188,2.0466964171198625,997,121,308,1.9326447339160655,1.0590132688136102,0.0013559579965658486
S_carrier_snipe,P_random,1000,8,385,0.385,2.659485782408123,193,2.073099104106857,997,128,324,1.9326447339160655,1.0726746968679508,0.0013485420058714226
S_carrier_snipe,P_random,1000,9,390,0.39,2.6940245588030334,195,2.061431874721038,997,123,326,1.9326447339160655,1.0666377728637249,0.0013810420059598982
S_carrier_snipe,P_random,10000,0,3565,0.3565,3.283486342609509,1783,2.3657261560641127,9973,872,3250,2.2203268063678463,1.0654855624312891,0.02020266700128559
S_carrier_snipe,P_random,10000,1,2889,0.2889,2.6608673334639197,1445,1.8337823190067146,9973,885,2298,2.2203268063678463,0.8259064898678289,0.023098707999452017
S_carrier_snipe,P_random,10000,2,3558,0.3558,3.277039104349126,1779,2.3705720773009835,9973,885,3264,2.2203268063678463,1.0676680885454508,0.02059762499993667
S_carrier_snipe,P_random,10000,3,3570,0.357,3.2880915127954977,1785,2.3652993774629625,9973,869,3286,2.2203268063678463,1.0652933481140425,0.020065166012500413
S_carrier_snipe,P_random,10000,4,3604,0.3604,3.319406670060217,1802,2.370026291279123,9973,890,3309,2.2203268063678463,1.0674222751722593,0.0192660419997992
S_carrier_snipe,P_random,10000,5,3579,0.3579,3.296380819130276,1790,2.367746961977736,9973,865,3306,2.2203268063678463,1.0663957013837297,0.020567290994222276
S_carrier_snipe,P_random,10000,6,2866,0.2866,2.6396835506083742,1433,1.8357095404681907,9973,894,2272,2.2203268063678463,0.8267744798663953,0.021985416009556502
S_carrier_snipe,P_random,10000,7,3474,0.3474,3.1996722452245265,1737,2.3667779697658595,9973,880,3170,2.2203268063678463,1.0659592826506417,0.019909666996682063
