move,player,x,killed_now,top_live
49664,S,332837,2,81291
49728,S,333323,2,81195
49792,S,333791,1,81130
49856,S,334333,1,81066
49920,S,334793,1,81002
49984,S,335281,1,80938
50048,S,335813,1,80874
50112,S,336353,1,80810
50176,S,336793,1,80746
50240,S,337291,1,80682
50304,S,337793,1,80618
50368,S,338279,1,80554
50432,S,338791,1,80490
50496,S,339373,1,80426
50560,S,339863,1,80362
50624,S,340429,1,80298
50688,S,340903,1,80234
50752,S,341347,1,80170
50816,S,341927,1,80106
50880,S,342359,1,80042
50944,S,342899,1,79978
51008,S,343391,1,79914
51072,S,343897,1,79850
51136,S,344353,1,79786
51200,S,344873,1,79722
51264,S,345461,1,79658
51328,S,345869,1,79594
51392,S,346373,1,79530
51456,S,346873,1,79466
51520,S,347359,1,79402
51584,S,347849,1,79338
51648,S,348367,1,79274
51712,S,348851,1,79210
51776,S,349379,1,79146
51840,S,349871,1,79082
51904,S,350423,1,79018
51968,S,350887,1,78954
52032,S,351347,1,78890
52096,S,351847,1,78826
52160,S,352309,1,78762
52224,S,352813,1,78698
52288,S,353317,1,78634
52352,S,353767,1,78570
52416,S,354259,1,78506
52480,S,354703,1,78442
52544,S,355139,1,78378
52608,S,355679,1,78314
52672,S,356219,1,78250
52736,S,356803,1,78186
52800,S,357293,1,78122
52864,S,357781,1,78058
52928,S,358289,1,77994
52992,S,358753,1,77930
53056,S,359263,1,77866
53120,S,359713,1,77802
53184,S,360287,1,77738
53248,S,360853,1,77674
53312,S,361349,1,77610
53376,S,361843,1,77546
53440,S,362333,1,77482
53504,S,362851,1,77418
53568,S,363277,1,77354
53632,S,363731,1,77290
53696,S,364303,1,77226
53760,S,364747,1,77162
